replicate,and_truth_auroc,and_TT_vs_mixed_auroc,and_mixed_vs_FF_auroc,and_total_range,and_pooled_sd,and_range_over_sd,dprime_AND_TT_mixed,dprime_AND_mixed_FF,or_truth_auroc,or_TT_vs_mixed_auroc,or_mixed_vs_FF_auroc,or_total_range,or_pooled_sd,or_range_over_sd,dprime_OR_TT_mixed,dprime_OR_mixed_FF,and_minus_or_auroc,OR_to_AND_range_ratio,OR_range_compression,OR_to_AND_pooled_sd_ratio,OR_to_AND_range_over_sd_ratio
20,0.9463916666666665,0.9281625,0.7066000000000001,10.909760404329068,4.072349171454869,2.6789845234296292,2.002633547692765,0.7430864488845882,0.667825,0.8415625,0.5686499999999999,6.063059176101672,4.076923715740564,1.4871652252635617,1.368102908516541,0.3059562638245464,0.2785666666666665,0.5557463181039071,0.44425368189609293,1.0011233182846304,0.5551227385814445
21,0.945325,0.92515,0.6930124999999999,11.060956550875634,4.248658083027672,2.6034000229534575,1.986817680881154,0.6841320230438728,0.6741583333333334,0.8143125,0.5811000000000001,5.951397718360145,4.186251590602824,1.4216531399401962,1.261906563402589,0.2979410191825235,0.27116666666666656,0.538054524578076,0.461945475421924,0.9853114816007091,0.5460755655703595
22,0.9455666666666667,0.927925,0.6694500000000001,11.227746170876193,4.314740104486559,2.602183653935805,2.0550357028221033,0.62746208383565,0.7049666666666665,0.8606499999999999,0.601775,7.14750786124509,4.077996154391694,1.7527009812276955,1.550766939519598,0.3762982514866219,0.24060000000000015,0.6365932888459048,0.3634067111540952,0.9451313533696516,0.6735500696027867
23,0.9525666666666667,0.9347500000000001,0.6799,10.587355731746104,3.9730211117169123,2.664812351618956,2.1010869102649607,0.6294377099996922,0.6848333333333333,0.8471624999999999,0.583875,6.267169526308544,3.984153765392164,1.5730240084475406,1.4147329069734649,0.3279763649562626,0.2677333333333334,0.5919485171841808,0.40805148281581916,1.0028020625519507,0.5902944751407655
24,0.9206333333333333,0.8964000000000001,0.6831124999999999,10.109938343397989,4.346376753773683,2.326061203649723,1.7492831594603906,0.630377481507238,0.6817916666666667,0.812525,0.5866125,6.139151954748514,4.164445241325743,1.4741824178228664,1.256384708393499,0.33705562539461953,0.23884166666666662,0.6072393071276755,0.3927606928723245,0.9581417988465956,0.6337676822560773
25,0.9432166666666667,0.923075,0.6797499999999999,10.912902239939529,4.237963599426921,2.575034443763327,1.9981572935922112,0.6438599560834483,0.6868416666666667,0.843275,0.582675,6.338221032618105,4.065725659459472,1.5589396736278451,1.414950425594415,0.33147727371942554,0.256375,0.5808006791649979,0.4191993208350021,0.9593583248353668,0.6054053674519035
26,0.9365833333333333,0.91635,0.6642374999999999,10.543457402019161,4.258643172558514,2.4757785460773523,1.9483153468843257,0.593454297742649,0.6736416666666667,0.8302875000000001,0.578025,6.4392271584273715,4.322224062632844,1.4897948521680697,1.3606496771739371,0.3113372952296643,0.26294166666666663,0.6107320315245173,0.38926796847548273,1.0149298467840713,0.6017480256982254
27,0.949975,0.9316374999999999,0.6697624999999999,10.820209879215414,4.146870721754158,2.6092469732546624,2.073103727722658,0.6231299113904045,0.6838666666666666,0.8474875000000001,0.5873124999999999,6.600077285897109,4.063173378487538,1.6243651626684705,1.4989416199249528,0.3124393715697106,0.2661083333333334,0.6099768266579769,0.3900231733420231,0.9798167464378501,0.6225417445410725
28,0.9376583333333333,0.9172375,0.6867624999999999,10.799292195596488,4.274177371789282,2.526636415904196,1.937379963086296,0.6610756185811449,0.6769000000000001,0.82845,0.5744625,5.764394490777038,3.953915384208608,1.4578952584061948,1.3133431529389012,0.30577003968535943,0.2607583333333332,0.5337752128910378,0.4662247871089622,0.9250704966774451,0.5770103087366706
29,0.9485750000000001,0.9299624999999999,0.6686874999999999,10.583778034293648,3.961623483246306,2.671575953407085,2.1216596803072356,0.617548323776509,0.6654833333333333,0.8239625,0.5719375,5.870332555792534,4.135542589028938,1.4194830374533614,1.2894810158940695,0.29457581404784366,0.28309166666666674,0.5546537858949264,0.4453462141050736,1.0439009680041869,0.5313279735292877
